ProductLocation id,Product Name,Location Name,Current Quantity,Cost Value,Price Value,Profit Value
cd2790cb-c8eb-4105-b4e7-1d6426146ea2,Glycolic 10 Renew Overnight,Rella Aesthetics,2.0,0.0,192.0,192.0
cdd8dbfe-f1e8-45e3-b5b4-8c13cd42c0bf,Restylane L,Rella Aesthetics,29.0,0.0,20300.0,20300.0
ce4553d6-bac3-4a45-b9d7-07a81b4db2b5,Discoloration Defense,Rella Aesthetics,2.0,110.0,220.0,110.0
d051bf7c-ca87-44b7-be39-d9f2c61fa05f,RF Microneedling Tips Non-Insulated,Rella Aesthetics,13.0,0.0,0.0,0.0
d4667550-37d6-4444-9212-14e628aca3a9,Blemish Corrective Treatment Serum,Rella Aesthetics - Napa,6.0,150.0,300.0,150.0
d506eeec-1fb1-470f-bf2c-3b00d41d2960,Hydrafacial Perk Eye,Rella Aesthetics - Napa,-4.0,0.0,-160.0,-160.0
d60afc16-4b72-4d8b-a58c-48128e15b042,Skin Stylus Tips; 12 pin 2.5mm,Rella Aesthetics,-5.0,0.0,0.0,0.0
d86f1800-5baa-4020-823c-e0684d9765b3,Sheer Defense,Rella Aesthetics,12.0,234.0,468.0,234.0
df3e3089-53b4-473e-a157-583630ea4ae8,Micro Exfoliating Scrub,Rella Aesthetics - Napa,3.0,52.5,105.0,52.5
e19717de-1b70-4a14-a40e-10fa4bb93497,C02 Mask,Rella Aesthetics - Napa,-47.0,0.0,-4700.0,-4700.0
e3330cb8-871e-4cd4-bcd7-f25741f036d9,P-TIOX,Rella Aesthetics - Napa,2.0,156.0,296.0,140.0
e435c189-c04f-4cd4-9cd6-486a59d08397,Powder Defense,Rella Aesthetics - Napa,2.0,55.0,110.0,55.0
e4b7bf6c-6914-4d72-981b-75439f0c0797,Contrave- Buproprion/naltrexone,Rella Aesthetics,0.0,0.0,0.0,0.0
e8cdc760-8584-4796-90b7-fe1231dbf125,Restylane Defyne,Rella Aesthetics,13.0,0.0,9100.0,9100.0
ebf1d568-ea08-4402-ab6c-f416fbecf642,Aquaglow Hyaluronic Acid,Rella Aesthetics - Napa,29.0,1421.0,2842.0,1421.0
ec1eba4b-d18c-4d7b-8188-d07970423bea,Radiant Glow Lactic Acid,Rella Aesthetics - Napa,9.0,400.5,810.0,409.5
ec78e320-3ac2-450c-9d43-ae4158474911,Phyto Balance,Rella Aesthetics - Napa,7.0,227.5,455.0,227.5
ec8b5ace-22aa-4824-8273-f614604622de,Complexion Gly-Sal Pads,Rella Aesthetics - Napa,14.0,266.0,532.0,266.0
ed3b125d-485a-431d-b46a-8af79706c66b,Juvederm Voluma XC,Rella Aesthetics - Napa,2.0,0.0,1600.0,1600.0
efc9932c-c776-4b78-9777-66b61c711294,Restylane Refyne,Rella Aesthetics - Napa,0.0,0.0,0.0,0.0
f0e02e31-7798-4a00-90f6-6445893b9958,Restylane Defyne,Rella Aesthetics - Napa,4.0,0.0,2800.0,2800.0
f1dfe33d-dc36-42c7-be95-39988e163123,Soothing Recovery Ointment,Rella Aesthetics,-4.0,0.0,-120.0,-120.0
f23d30d0-4dde-4e95-a750-3eb1161856fc,Tirzepatide 1x Month,Rella Aesthetics - Napa,-5.0,0.0,-3625.0,-3625.0
f4445651-93d6-479f-acd8-6489b99a6bb4,semaglutide single injection,Rella Aesthetics,-87.0,0.0,-10875.0,-10875.0
f5c6ccdb-834b-4c29-a64c-12c0a80bfdb0,Retinol + Niacinamide Nourishing PM Eye Cream,Rella Aesthetics - Napa,8.0,432.0,864.0,432.0
f6050a8e-35bb-4748-a605-deaa429b804a,Lipid Cloud,Rella Aesthetics,5.0,260.0,520.0,260.0
f842fa4f-d9c9-4e88-8384-af2f04eb74d2,Membership fee corrections,Rella Aesthetics,-2.0,0.0,0.0,0.0
f8ae7914-aa71-42ed-ac7b-afa05e3dc874,Retinol PM Treatment Serum 5x,Rella Aesthetics,7.0,392.0,784.0,392.0
fb1d5915-b4e3-4519-91c4-ce709cdc17f2,Skincare Kit,Rella Aesthetics - Napa,16.0,0.0,480.0,480.0
fb2d865b-365e-45bc-a9d5-865e7ae3ad7b,Juvederm Voluma XC,Rella Aesthetics,19.0,0.0,15200.0,15200.0
fbb77938-7111-4335-92e4-3454877bdac0,Retinol + Niacinamide Nourishing PM Eye Cream,Rella Aesthetics,3.0,162.0,324.0,162.0
fc44b1c5-a9e5-4cae-a67d-a59ac66d48fd,Sculptra,Rella Aesthetics,58.0,0.0,46400.0,46400.0
fc548e1f-1b78-49ec-ab64-f999bcd037cf,Botox,Rella Aesthetics,1525.0,9668.5,22875.0,13206.5
