QuantityAdjustment id,Location Name,Brand Name,Product Name,Adjustment Reason,Product Quantity Change,Inventory Adjustment Cost
8025c190-3dd4-4e44-9a60-0c68e952cb16,Rella Aesthetics,Galderma,Dysport,sale,-72.0,-144.0
823a8ae8-0355-476f-a360-67a8b4581392,Rella Aesthetics - Napa,Botox,Botox,sale,-40.0,-253.6
86158b3c-4406-4b83-8206-84aff2380884,Rella Aesthetics,Galderma,Dysport,sale,-63.0,-126.0
86315302-9848-416d-a85d-5c74bec8f7a1,Rella Aesthetics,Botox,Botox,sale,-50.0,-317.0
8674417e-6e66-4612-b82a-513a968b40ef,Rella Aesthetics,,Juvederm Ultra XC,sale,-1.0,0.0
87344933-34bf-4105-9208-7c4e29970751,Rella Aesthetics - Napa,Galderma,Restylane Kysse,recount,-1.0,0.0
8af7c4f7-e7ae-4ce7-bc95-30eb7c770d62,Rella Aesthetics,Galderma,Restylane Contour,sale,-1.0,0.0
8b9c95b7-1f1d-41e0-b205-2f68c27ae299,Rella Aesthetics - Napa,Rella Skincare,Sheer Defense,sale,-1.0,-19.5
8bf1d4fd-ad0a-4e21-8260-f5c8cfa9d0a2,Rella Aesthetics,,Semaglutide x3 Month Supply,sale,-1.0,-300.0
8c465f3d-dda3-4504-b80e-09862c54c13d,Rella Aesthetics,,Semaglutide x1 Month Supply,sale,-1.0,0.0
8dff9672-3f77-4f9e-a2be-dca0d4d327c2,Rella Aesthetics,SkinCeuticals,Simply Clean,received,6.0,117.0
8f3ab943-e7ce-49be-a8d7-7de6d495e2c3,Rella Aesthetics,,Semaglutide x3 Month Supply,sale,-1.0,-300.0
90517bae-4624-42ad-b6f7-182caad3810b,Rella Aesthetics - Napa,Galderma,Restylane Lyft,recount,-2.0,0.0
92293c20-c0ef-45a9-bc11-9586daef19ba,Rella Aesthetics,,Semaglutide x1 Month Supply,sale,-1.0,0.0
9256eb79-a6fd-4068-83a4-2a57a3904bdf,Rella Aesthetics,,Semaglutide x3 Month Supply,sale,-1.0,-300.0
989cd56b-a870-46c7-9eb7-1629d746a99a,Rella Aesthetics - Napa,Rella Skincare,Soothing Essence Mist,usage,-1.0,-2.0
9b778719-eedc-4494-9e01-6e804f23c08d,Rella Aesthetics - Napa,,Kybella,received,12.0,0.0
9b863ae2-2fd7-4c10-8d79-eea1b06e7414,Rella Aesthetics,Galderma,Restylane Lyft,sale,-3.0,0.0
9f365321-0e6c-4710-a4bb-596f8e77b440,Rella Aesthetics,,Tirzepatide 1x Month,sale,-1.0,0.0
a03f9ca9-5801-4ac0-9e1f-9eadc694861a,Rella Aesthetics,Botox,Botox,sale,-5.0,-31.7
a0e3299a-1896-4757-a485-1d1ea740fc3a,Rella Aesthetics,,Juvederm Volux XC,sale,-2.0,0.0
a4ae9e6a-f5f8-4dda-abc0-ccc7f173bad0,Rella Aesthetics - Napa,Botox,Botox,sale,-42.0,-266.28
a5ea2592-5b22-42e6-80b7-e9f8b41d3053,Rella Aesthetics,Botox,Botox,sale,-11.0,-69.74
a8bb46ae-00d5-47a8-8df8-a3ce558b367c,Rella Aesthetics,Galderma,Dysport,sale,-18.0,-36.0
a9eb0fe6-08cf-4f1e-90ac-dde2b6bd97ad,Rella Aesthetics,Rella Skincare,Phyto Balance,usage,-1.0,-32.5
aa40155b-18db-4674-bd29-d9c84be5454f,Rella Aesthetics,Botox,Botox,sale,-4.0,-25.36
abcffff0-3414-4ae7-a9cc-50e49134dca6,Rella Aesthetics - Napa,,Tox Membership,sale,-1.0,0.0
ad14dc29-8a4c-4f53-88f8-172476aab299,Rella Aesthetics - Napa,,Tox Membership,sale,-1.0,0.0
af36d7fd-e363-4e0b-9215-c01e18b74fd9,Rella Aesthetics,,Semaglutide x3 Month Supply,sale,-1.0,-300.0
